#,FECHA,MES,A—O,HORA,CAUSAS DE SINIESTRO,TIPOLOGIA,FALLECIDOS,LESIONADOS,ZONA,TIPO ZONA,PARROQUIA,CIRCUITO,TIPO DE VEH√çCULO,TIPO VEH√çCULO 2,TIPO VEH√çCULO 2 2,DIRECCI”N,GRUPO,LATITUD,LONGITUD,# PARTE,DIA
47,15/1/2014,ENERO,2014,9:53,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,VOLCAMIENTO,1,0,S/D,URBANO,SIDCAY,S/D,TANQUERO,S/D,S/D,SIDCAY -LA ALBORADA,S/G,,,2726,MIERCOLES
56,16/1/2014,ENERO,2014,3:02,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,CHOQUE LATERAL,1,1,S/D,URBANO,SAN SEBASTIAN,S/D,AUTOMOVIL,S/D,S/D,JUAN JARAMILLO Y MARIANO CUEVA ,S/G,-2.550278,-79.030278,3061,JUEVES
74,21/1/2014,ENERO,2014,17:10,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ESTRELLAMIENTO,1,0,S/D,RURAL,SUCRE,S/D,MOTOCICLETA,S/D,S/D,VIA A TURI -TARQUI,S/G,-2.914722,-79.033056,2783,MARTES
96,25/1/2014,ENERO,2014,17:30,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ARROLLAMIENTO,1,0,S/D,URBANO,SAYAUSÕ,S/D,BUS,S/D,S/D,DON BOSCO Y FRANCISCO DE ORELLANA,S/G,,,#N/D,SABADO
111,31/1/2014,ENERO,2014,6:00,REBASAR A OTRO VEH√çCULO EN MOVIMIENTO EN SITIOS PELIGROSOS,CHOQUE LATERAL,1,0,NORTE,RURAL,CA—ARIBAMBA,S/D,SERVICIO PUBLICO ,S/D,S/D,AV. AM…RICAS Y CAMINO VIEJO A BA—OS,S/G,-2.901667,-78.984444,2870,VIERNES
121,3/2/2014,FEBRERO,2014,9:00,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,VOLCAMIENTO,2,0,S/D,RURAL,YANUNCAY,S/D,AUTOMOVIL,AUTOMOVIL,S/D,VIA A SININCAY -BARRIO LA MERCED ,S/G,-2.915917,-79.026060,2924,LUNES
144,8/2/2014,FEBRERO,2014,21:40,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,PERDIDA DE PISTA ,1,0,SUR,RURAL,HUAYNA CAPAC,S/D,JEEP,S/D,S/D,VIA AL VALLE -EL DESPACHO,S/G,-2.898673,-78.996675,2978,SABADO
172,14/2/2014,FEBRERO,2014,15:45,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ATROPELLO,1,0,NORTE,RURAL,EL SAGRARIO,S/D,AUTOMOVIL,S/D,S/D,VIA SANTA ROSA Y VIA AL CEMENTERIO SANTA ROSA ,S/G,-2.892800,-79.004052,3031,VIERNES
181,15/2/2014,FEBRERO,2014,19:10,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ATROPELLO,1,0,SUR,URBANO,HUAYNA CAPAC,S/D,AUTOMOVIL,S/D,S/D,SARAR Y VIA AL TEJAR ,S/G,-2.911145,-79.992561,3046,SABADO
206,22/2/2014,FEBRERO,2014,10:00,CONDUCE BAJO LA INFLUENCIA DE ALCOHOL,ATROPELLO,1,1,NORTE,URBANO,EL VECINO,S/D,CAMIONETA,S/D,S/D,BUERAN Y QUILATOA,S/G,-2.891901,-78.981846,3104,SABADO
214,25/2/2014,FEBRERO,2014,7:50,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,CHOQUE LATERAL,1,0,S/D,URBANO,YANUNCAY,S/D,AUTOMOVIL,S/D,S/D,LUIS MOSCOSO Y MANUEL IGNACIO OCHOA,S/G,-2.908861,-79.036475,3123,MARTES
347,29/3/2014,MARZO,2014,9:15,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,CHOQUE LATERAL,1,0,SUR,URBANO,BA—OS,S/D,OMNIBUS,BICICLETA,S/D,SANGURIMA Y PADRE AGUIRRE,S/G,-2.905634,-79.069945,3378,SABADO
357,30/3/2014,MARZO,2014,22:30,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,CHOQUE LATERAL,1,0,SUR,URBANO,HUAYNA CAPAC,S/D,CAMIONETA,S/D,S/D,LOJA E ISABEL LA CATOLICA,S/G,-2.893487,-78.993684,3395,DOMINGO
375,4/4/2014,ABRIL,2014,7:05,CAUSAS DESCONOCIDAS,ATROPELLO,1,0,S/D,URBANO,SUCRE,S/D,,S/D,S/D,AUTOPISTA CUENCA-AZOGUES (ENTRADA CAMPOSANTO SANTA ANA),S/G,-2.908510,-79.016886,3429,VIERNES
404,12/4/2014,ABRIL,2014,7:30,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,CHOQUE LATERAL,1,0,SUR,URBANO,MONAY,S/D,MOTOCICLETA,S/D,S/D,GONZALES SUAREZ Y PASEO DE LOS CA—ARIS,S/G,-2.898868,-78.970072,3504,SABADO
433,19/4/2014,ABRIL,2014,19:43,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ATROPELLO,1,0,S/D,URBANO,SUCRE,S/D,,S/D,S/D,10 DE AGOSTO Y SOLANO,S/G,-2.910504,-79.010307,3550,SABADO
448,22/4/2014,ABRIL,2014,20:40,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ATROPELLO,1,0,NORTE,URBANO,SAN BLAS,S/D,,S/D,S/D,UNIDAD NACIONAL Y GUAYANA,S/G,-2.884070,-79.981128,3580,MARTES
475,27/4/2014,ABRIL,2014,23:00,CONDUCIR DESATENTO A LAS CONDICIONES DE TR√ÅNSITO,ARROLLAMIENTO,1,0,SUR,RURAL,EL VALLE,S/D,CAMIONETA,S/D,S/D,VIA AL VALLE -POLOMA,S/G,-2.948194,-78.970383,3625,DOMINGO
530,10/5/2014,MAYO,2014,23:01,EXCESO DE VELOCIDAD,PERDIDA DE PISTA ,1,2,SUR,URBANA,HUAYNA CAPAC,S/D,JEEP,S/D,S/D,PUMAPUNGO Y PASEO DE LOS CA—ARIS,S/G,-2.891006,-78.992004,3743,SABADO
548,15/5/2014,MAYO,2014,15:44,IMPRUDENCIA DEL PEATON,ARROLLAMIENTO,1,0,S/D,URBANO,YANUNCAY,S/D,OMNIBUS,S/D,S/D,AV. AMERICAS Y CARLOS ARIZAGA,S/G,-2.899640,-79.027043,3774,JUEVES
595,26/5/2014,MAYO,2014,13:45,DA—OS MEC¡NICOS,ATROPELLO,1,0,S/D,URBANO,YANUNCAY,S/D,,S/D,S/D,LOJA Y PICHINCHA,S/G,-2.305456,-79.288859,3865,LUNES
